hole,sector,sector_type
1,7,over_back
1,5,close_miss
1,6,close_miss
1,1,front_apron
1,2,bunker
1,3l,front_green
1,3r,front_green
1,4l,back_green
1,4r,back_green
2,9o,over_back
2,7l,close_miss
2,7r,close_miss
2,1,front_apron
2,2,bunker
2,3,bunker
2,4,bunker
2,5l,front_green
2,5r,front_green
2,6l,back_green
2,6r,back_green
3,6,over_back
3,6o,far_over
3,7l,close_miss
3,7r,close_miss
3,8l,far_miss
3,8r,far_miss
3,1,front_apron
3,2,bunker
3,3,bunker
3,4l,front_green
3,4r,front_green
3,5l,back_green
3,5r,back_green
4,6ob,over_back
4,6l,close_miss
4,6r,close_miss
4,1,front_apron
4,2,bunker
4,3,bunker
4,4l,front_green
4,4r,front_green
4,5l,back_green
4,5r,back_green
5,6,over_back
5,1,front_apron
5,2,close_miss
5,3,bunker
5,4l,front_green
5,4r,front_green
5,5l,back_green
5,5r,back_green
5,7,close_miss
6,8r,close_miss
6,9o,over_back
6,7l,close_miss
6,1,front_apron
6,7r,close_miss
6,9r,far_miss
6,8l,close_miss
6,2,bunker
6,3,bunker
6,4l,front_green
6,4r,front_green
6,5l,back_green
6,5r,back_green
7,9o,over_back
7,9l,far_miss
7,9r,far_miss
7,7l,close_miss
7,7r,close_miss
7,1,front_apron
7,2,bunker
7,2b,bunker
7,3,bunker
7,4l,front_green
7,4r,front_green
7,5l,back_green
7,5r,back_green
8,7ob,far_over
8,6,over_back
8,7l,close_miss
8,7r,close_miss
8,1,front_apron
8,2,bunker
8,3,bunker
8,4l,front_green
8,4r,front_green
8,5l,back_green
8,5r,back_green
9,7ob,far_over
9,8l,far_miss
9,8r,far_miss
9,6,over_back
9,7l,close_miss
9,7r,close_miss
9,1,front_apron
9,3,bunker
9,4l,front_green
9,4r,front_green
9,5l,back_green
9,5r,back_green
10,9o,far_over
10,8,over_back
10,9l,far_miss
10,9r,far_miss
10,7,close_miss
10,1,front_apron
10,2,bunker
10,3,bunker
10,4l,front_green
10,4r,front_green
10,5l,back_green
10,5r,back_green
11,9o,far_over
11,8,over_back
11,7l,close_miss
11,7r,close_miss
11,9l,far_miss
11,9r,far_miss
11,1,front_apron
11,2,bunker
11,3,bunker
11,4l,front_green
11,4r,front_green
11,5l,back_green
11,5r,back_green
12,6,over_back
12,8l,close_miss
12,7r,close_miss
12,7l,close_miss
12,8r,far_miss
12,1,front_apron
12,2,bunker
12,3,bunker
12,4l,front_green
12,4r,front_green
12,5l,back_green
12,5r,back_green
13,9,far_over
13,6,over_back
13,6r,close_miss
13,8,far_miss
13,7l,close_miss
13,7r,close_miss
13,1,front_apron
13,2,bunker
13,3,bunker
13,4l,front_green
13,4r,front_green
13,5l,back_green
13,5r,back_green
14,7o,over_back
14,8l,far_miss
14,8r,far_miss
14,7l,close_miss
14,7r,close_miss
14,1,front_apron
14,2,bunker
14,3,bunker
14,4,bunker
14,5l,front_green
14,5r,front_green
14,6l,back_green
14,6r,back_green
15,8,over_back
15,5,close_miss
15,3,close_miss
15,2,close_miss
15,4,close_miss
15,1,close_miss
15,6l,front_green
15,6r,front_green
15,7l,back_green
15,7r,back_green
16,8ob,over_back
16,8l,close_miss
16,8r,close_miss
16,7l,close_miss
16,7r,close_miss
16,9l,far_miss
16,9r,far_miss
16,1,front_apron
16,2,bunker
16,3,bunker
16,4l,front_green
16,4r,front_green
16,5l,front_green
16,5r,front_green
16,6l,back_green
16,6r,back_green
17,9o,over_back
17,7l,close_miss
17,7r,close_miss
17,8l,close_miss
17,8r,close_miss
17,9l,far_miss
17,9r,far_miss
17,1,front_apron
17,2,bunker
17,3,bunker
17,4l,front_green
17,4r,front_green
17,5l,back_green
17,5r,back_green
18,6,over_back
18,9,far_over
18,7l,close_miss
18,7r,close_miss
18,8l,far_miss
18,8r,far_miss
18,1,front_apron
18,2,bunker
18,3,bunker
18,4l,front_green
18,4r,front_green
18,5l,back_green
18,5r,back_green
