hole,sector,pin,rubric_score
1,7,1,2.5
1,7,2,2.5
1,7,3,2.5
1,7,4,3
1,7,5,2.5
1,5,1,3
1,5,2,2
1,5,3,2
1,5,4,2.5
1,5,5,2.5
1,6,1,2
1,6,2,2.5
1,6,3,2.5
1,6,4,2
1,6,5,2
1,1,1,4
1,1,2,3
1,1,3,4
1,1,4,2.5
1,1,5,3
1,2,1,2
1,2,2,1.5
1,2,3,1.5
1,2,4,2
1,2,5,2
1,3l,1,5
1,3l,2,4
1,3l,3,5
1,3l,4,3.5
1,3l,5,4
1,3r,1,5
1,3r,2,4
1,3r,3,5
1,3r,4,3.5
1,3r,5,4
1,4l,1,3.5
1,4l,2,4
1,4l,3,3.5
1,4l,4,5
1,4l,5,5
1,4r,1,3.5
1,4r,2,5
1,4r,3,3.5
1,4r,4,5
1,4r,5,4
2,9o,1,2
2,9o,2,2
2,9o,3,2
2,9o,4,1.5
2,9o,5,1.5
2,7l,1,2.5
2,7l,2,2.5
2,7l,3,2
2,7l,4,3
2,7l,5,3
2,7r,1,2
2,7r,2,1.5
2,7r,3,2
2,7r,4,2
2,7r,5,2
2,1,1,3
2,1,2,2.5
2,1,3,2.5
2,1,4,3
2,1,5,4.5
2,2,1,2
2,2,2,2
2,2,3,1.5
2,2,4,2
2,2,5,2
2,3,1,2
2,3,2,2
2,3,3,1.5
2,3,4,2
2,3,5,2
2,4,1,1.5
2,4,2,2
2,4,3,1.5
2,4,4,2
2,4,5,2
2,5l,1,4
2,5l,2,3.5
2,5l,3,3
2,5l,4,5
2,5l,5,5
2,5r,1,5
2,5r,2,3
2,5r,3,3.5
2,5r,4,3.5
2,5r,5,4.5
2,6l,1,3.5
2,6l,2,4.5
2,6l,3,4
2,6l,4,3.5
2,6l,5,2
2,6r,1,3.5
2,6r,2,3
2,6r,3,5
2,6r,4,3
2,6r,5,2
3,6,1,2.5
3,6,2,2.0
3,6,3,2.0
3,6,4,2.0
3,6,5,2.5
3,6o,1,1.5
3,6o,2,1.0
3,6o,3,1.0
3,6o,4,1.0
3,6o,5,1.5
3,7l,1,2.5
3,7l,2,2.5
3,7l,3,2.0
3,7l,4,2.5
3,7l,5,2.0
3,7r,1,2.0
3,7r,2,2.5
3,7r,3,2.5
3,7r,4,2.0
3,7r,5,2.5
3,8l,1,2.0
3,8l,2,2.0
3,8l,3,1.5
3,8l,4,2.0
3,8l,5,1.5
3,8r,1,1.5
3,8r,2,2.0
3,8r,3,2.0
3,8r,4,1.5
3,8r,5,2.0
3,1,1,2.5
3,1,2,4.5
3,1,3,3.5
3,1,4,3.5
3,1,5,2.5
3,2,1,2.0
3,2,2,2.0
3,2,3,1.5
3,2,4,2.0
3,2,5,1.5
3,3,1,1.0
3,3,2,2.0
3,3,3,2.0
3,3,4,2.0
3,3,5,1.5
3,4l,1,3.5
3,4l,2,5.0
3,4l,3,4.0
3,4l,4,5.0
3,4l,5,3.0
3,4r,1,3.0
3,4r,2,5.0
3,4r,3,5.0
3,4r,4,4.0
3,4r,5,3.5
3,5l,1,5.0
3,5l,2,3.0
3,5l,3,4.0
3,5l,4,4.0
3,5l,5,4.5
3,5r,1,4.5
3,5r,2,3.0
3,5r,3,4.0
3,5r,4,4.0
3,5r,5,5.0
4,6ob,1,2
4,6ob,2,2
4,6ob,3,1.5
4,6ob,4,2
4,6ob,5,2
4,6l,1,2
4,6l,2,2
4,6l,3,1.5
4,6l,4,2
4,6l,5,2
4,6r,1,2
4,6r,2,2
4,6r,3,1.5
4,6r,4,2
4,6r,5,2
4,1,1,2.5
4,1,2,2.5
4,1,3,4.5
4,1,4,3
4,1,5,3
4,2,1,2
4,2,2,1.5
4,2,3,2
4,2,4,2
4,2,5,1.5
4,3,1,1.5
4,3,2,2
4,3,3,2
4,3,4,1.5
4,3,5,2
4,4l,1,4
4,4l,2,3
4,4l,3,5
4,4l,4,5
4,4l,5,3.5
4,4r,1,3
4,4r,2,4
4,4r,3,5
4,4r,4,3.5
4,4r,5,5
4,5l,1,5
4,5l,2,4.5
4,5l,3,2.5
4,5l,4,4
4,5l,5,3.5
